imdb_id,title,release_year,directors
tt0033467,Citizen Kane,1941,Orson Welles
tt0050613,Throne of Blood,1957,Akira Kurosawa
tt0053946,Inherit the Wind,1960,Stanley Kramer
tt0058150,Goldfinger,1964,Guy Hamilton
tt0062622,2001: A Space Odyssey,1968,Stanley Kubrick
tt0066999,Dirty Harry,1971,Don Siegel
tt0068646,The Godfather,1972,Francis Ford Coppola
tt0070034,Enter the Dragon,1973,Robert Clouse
tt0071532,The Gambler,1974,Karel Reisz
tt0071562,The Godfather: Part II,1974,Francis Ford Coppola
tt0073195,Jaws,1975,Steven Spielberg
tt0075314,Taxi Driver,1976,Martin Scorsese
tt0076759,Star Wars: Episode IV - A New Hope,1977,George Lucas
tt0078748,Alien,1979,Ridley Scott
tt0078788,Apocalypse Now,1979,Francis Ford Coppola
tt0080179,Drunken Master,1978,Woo-Ping Yuen
tt0080487,Caddyshack,1980,Harold Ramis
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner
tt0080789,Gideon's Trumpet,1980,Robert L. Collins
tt0082517,History of the World: Part I,1981,Mel Brooks
tt0082971,Raiders of the Lost Ark,1981,Steven Spielberg
tt0083131,Stripes,1981,Ivan Reitman
tt0083658,Blade Runner,1982,Ridley Scott
tt0083929,Fast Times at Ridgemont High,1982,Amy Heckerling
tt0083944,First Blood,1982,Ted Kotcheff
tt0084522,Porky's,1981,Bob Clark
tt0084827,TRON,1982,Steven Lisberger
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand
tt0086250,Scarface,1983,Brian De Palma
tt0086465,Trading Places,1983,John Landis
tt0086567,WarGames,1983,John Badham
tt0086960,Beverly Hills Cop,1984,Martin Brest
tt0087332,Ghostbusters,1984,Ivan Reitman
tt0087469,Indiana Jones and the Temple of Doom,1984,Steven Spielberg
tt0087538,The Karate Kid,1984,John G. Avildsen
tt0087928,Police Academy,1984,Hugh Wilson
tt0088128,Sixteen Candles,1984,John Hughes
tt0088247,The Terminator,1984,James Cameron
tt0088258,This Is Spinal Tap,1984,Rob Reiner
tt0088763,Back to the Future,1985,Robert Zemeckis
tt0088847,The Breakfast Club,1985,John Hughes
tt0088944,Commando,1985,Mark L. Lester
tt0089927,Rocky IV,1985,Sylvester Stallone
tt0090605,Aliens,1986,James Cameron
tt0092099,Top Gun,1986,Tony Scott
tt0092675,Bloodsport,1988,Newt Arnold
tt0093105,"Good Morning, Vietnam",1987,Barry Levinson
tt0093409,Lethal Weapon,1987,Richard Donner
tt0093773,Predator,1987,John McTiernan
tt0093779,The Princess Bride,1987,Rob Reiner
tt0093894,The Running Man,1987,Paul Michael Glaser
tt0094291,Wall Street,1987,Oliver Stone
tt0094625,Akira,1988,Katsuhiro Ôtomo
tt0094898,Coming to America,1988,John Landis
tt0095016,Die Hard,1988,John McTiernan
tt0095953,Rain Man,1988,Barry Levinson
tt0096256,They Live,1988,John Carpenter
tt0096438,Who Framed Roger Rabbit,1988,Robert Zemeckis
tt0096874,Back to the Future Part II,1989,Robert Zemeckis
tt0097165,Dead Poets Society,1989,Peter Weir
tt0097441,Glory,1989,Edward Zwick
tt0097493,Heathers,1988,Michael Lehmann
tt0097576,Indiana Jones and the Last Crusade,1989,Steven Spielberg
tt0098258,Say Anything...,1989,Cameron Crowe
tt0099685,Goodfellas,1990,Martin Scorsese
tt0101507,Boyz n the Hood,1991,John Singleton
tt0102057,Hook,1991,Steven Spielberg
tt0102526,New Jack City,1991,Mario Van Peebles
tt0103064,Terminator 2,1991,James Cameron
tt0103772,Basic Instinct,1992,Paul Verhoeven
tt0104348,Glengarry Glen Ross,1992,James Foley
tt0104797,Malcolm X,1992,Spike Lee
tt0105236,Reservoir Dogs,1992,Quentin Tarantino
tt0105323,Scent of a Woman,1992,Martin Brest
tt0106977,The Fugitive,1993,Andrew Davis
tt0107048,Groundhog Day,1993,Harold Ramis
tt0107290,Jurassic Park,1993,Steven Spielberg
tt0109830,Forrest Gump,1994,Robert Zemeckis
tt0110912,Pulp Fiction,1994,Quentin Tarantino
tt0111161,The Shawshank Redemption,1994,Frank Darabont
tt0111257,Speed,1994,Jan de Bont
tt0111282,Stargate,1994,Roland Emmerich
tt0112442,Bad Boys,1995,Michael Bay
tt0112508,Billy Madison,1995,Tamra Davis
tt0113189,GoldenEye,1995,Martin Campbell
tt0113277,Heat,1995,Michael Mann
tt0114369,Se7en,1995,David Fincher
tt0114709,Toy Story,1995,John Lasseter
tt0114898,Waterworld,1995,Kevin Reynolds
tt0116282,Fargo,1996,Ethan Coen; Joel Coen
tt0116629,Independence Day,1996,Roland Emmerich
tt0117060,Mission: Impossible,1996,Brian De Palma
tt0118540,4 Little Girls,1997,Spike Lee
tt0119174,The Game,1997,David Fincher
tt0119217,Good Will Hunting,1997,Gus Van Sant
tt0119567,The Lost World: Jurassic Park,1997,Steven Spielberg
tt0119654,Men in Black,1997,Barry Sonnenfeld
tt0120347,Tomorrow Never Dies,1997,Roger Spottiswoode
tt0120363,Toy Story 2,1999,Ash Brannon; John Lasseter
tt0120611,Blade,1998,Stephen Norrington
tt0120623,A Bug's Life,1998,Andrew Stanton; John Lasseter
tt0120667,Fantastic Four,2005,Tim Story
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson
tt0120746,The Mask of Zorro,1998,Martin Campbell
tt0120755,Mission: Impossible II,2000,John Woo
tt0120762,Mulan,1998,Barry Cook; Tony Bancroft
tt0120783,The Parent Trap,1998,Nancy Meyers
tt0120812,Rush Hour,1998,Brett Ratner
tt0120815,Saving Private Ryan,1998,Steven Spielberg
tt0120903,X-Men,2000,Bryan Singer
tt0120912,Men in Black II,2002,Barry Sonnenfeld
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,George Lucas
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,George Lucas
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,George Lucas
tt0122718,Small Soldiers,1998,Joe Dante
tt0126029,Shrek,2001,Andrew Adamson; Vicky Jenson
tt0129167,The Iron Giant,1999,Brad Bird
tt0132477,October Sky,1999,Joe Johnston
tt0133093,The Matrix,1999,Lana Wachowski; Lilly Wachowski
tt0133152,Planet of the Apes,2001,Tim Burton
tt0134847,Pitch Black,2000,David Twohy
tt0137523,Fight Club,1999,David Fincher
tt0138704,Pi,1998,Darren Aronofsky
tt0139654,Training Day,2001,Antoine Fuqua
tt0143145,The World Is Not Enough,1999,Michael Apted
tt0144084,American Psycho,2000,Mary Harron
tt0145487,Spider-Man,2002,Sam Raimi
tt0160127,Charlie's Angels,2000,McG
