imdb_id,entity_type,entity_name
tt0033467,actor,Agnes Moorehead
tt0033467,actor,Dorothy Comingore
tt0033467,actor,Erskine Sanford
tt0033467,actor,Everett Sloane
tt0033467,actor,Fortunio Bonanova
tt0033467,actor,George Coulouris
tt0033467,actor,Georgia Backus
tt0033467,actor,Gus Schilling
tt0033467,actor,Harry Shannon
tt0033467,actor,Joseph Cotten
tt0033467,actor,Paul Stewart
tt0033467,actor,Philip Van Zandt
tt0033467,actor,Ray Collins
tt0033467,actor,Ruth Warrick
tt0033467,actor,William Alland
tt0033467,director,Orson Welles
tt0033467,genre,Drama
tt0033467,genre,Mystery
tt0033467,studio,Mercury Productions
tt0033467,studio,RKO Radio Pictures
tt0033467,writer,Herman J. Mankiewicz
tt0033467,writer,Orson Welles
tt0050613,actor,Akira Kubo
tt0050613,actor,Chieko Naniwa
tt0050613,actor,Eiko Miyoshi
tt0050613,actor,Gen Shimizu
tt0050613,actor,Hiroshi Tachikawa
tt0050613,actor,Isuzu Yamada
tt0050613,actor,Kichijirô Ueda
tt0050613,actor,Kokuten Kôdô
tt0050613,actor,Minoru Chiaki
tt0050613,actor,Nakajirô Tomita
tt0050613,actor,Sachio Sakai
tt0050613,actor,Takamaru Sasaki
tt0050613,actor,Takashi Shimura
tt0050613,actor,Toshirô Mifune
tt0050613,actor,Yû Fujiki
tt0050613,director,Akira Kurosawa
tt0050613,genre,Drama
tt0050613,studio,Kurosawa Production Co.
tt0050613,studio,Toho Company
tt0050613,writer,Hideo Oguni
tt0050613,writer,Shinobu Hashimoto
tt0053946,actor,Claude Akins
tt0053946,actor,Dick York
tt0053946,actor,Donna Anderson
tt0053946,actor,Elliott Reid
tt0053946,actor,Fredric March
tt0053946,actor,Gene Kelly
tt0053946,actor,Gordon Polk
tt0053946,actor,Harry Morgan
tt0053946,actor,Hope Summers
tt0053946,actor,Jimmy Boyd
tt0053946,actor,Noah Beery Jr.
tt0053946,actor,Norman Fell
tt0053946,actor,Paul Hartman
tt0053946,actor,Philip Coolidge
tt0053946,actor,Spencer Tracy
tt0053946,director,Stanley Kramer
tt0053946,genre,Biography
tt0053946,genre,Drama
tt0053946,genre,History
tt0053946,studio,Stanley Kramer Productions
tt0053946,writer,Harold Jacob Smith
tt0053946,writer,Nedrick Young
tt0058150,actor,Austin Willis
tt0058150,actor,Bernard Lee
tt0058150,actor,Bill Nagy
tt0058150,actor,Cec Linder
tt0058150,actor,Gert Fröbe
tt0058150,actor,Harold Sakata
tt0058150,actor,Honor Blackman
tt0058150,actor,Lois Maxwell
tt0058150,actor,Martin Benson
tt0058150,actor,Michael Mellinger
tt0058150,actor,Nadja Regin
tt0058150,actor,Peter Cranwell
tt0058150,actor,Sean Connery
tt0058150,actor,Shirley Eaton
tt0058150,actor,Tania Mallet
tt0058150,director,Guy Hamilton
tt0058150,genre,Action
tt0058150,genre,Adventure
tt0058150,genre,Thriller
tt0058150,studio,Eon Productions
tt0058150,writer,Paul Dehn
tt0058150,writer,Richard Maibaum
tt0062622,actor,Alan Gifford
tt0062622,actor,Ann Gillis
tt0062622,actor,Bill Weston
tt0062622,actor,Daniel Richter
tt0062622,actor,Douglas Rain
tt0062622,actor,Ed Bishop
tt0062622,actor,Frank Miller
tt0062622,actor,Gary Lockwood
tt0062622,actor,Glenn Beck
tt0062622,actor,Keir Dullea
tt0062622,actor,Leonard Rossiter
tt0062622,actor,Margaret Tyzack
tt0062622,actor,Robert Beatty
tt0062622,actor,Sean Sullivan
tt0062622,actor,William Sylvester
tt0062622,director,Stanley Kubrick
tt0062622,genre,Adventure
tt0062622,genre,Sci-Fi
tt0062622,studio,Metro-Goldwyn-Mayer
tt0062622,studio,Stanley Kubrick Productions
tt0062622,writer,Arthur C. Clarke
tt0062622,writer,Stanley Kubrick
tt0066999,actor,Andrew Robinson
tt0066999,actor,Clint Eastwood
tt0066999,actor,Harry Guardino
tt0066999,actor,James Nolan
tt0066999,actor,John Larch
tt0066999,actor,John Mitchum
tt0066999,actor,John Vernon
tt0066999,actor,Josef Sommer
tt0066999,actor,Lyn Edgington
tt0066999,actor,Mae Mercer
tt0066999,actor,Maurice Argent
tt0066999,actor,Reni Santoni
tt0066999,actor,Ruth Kobart
tt0066999,actor,William Paterson
tt0066999,actor,Woodrow Parfrey
tt0066999,director,Don Siegel
tt0066999,genre,Action
tt0066999,genre,Crime
tt0066999,genre,Thriller
tt0066999,studio,"Malpaso Company, The"
tt0066999,studio,Warner Bros.
tt0066999,writer,Harry Julian Fink
tt0066999,writer,Rita M. Fink
tt0068646,actor,Abe Vigoda
tt0068646,actor,Al Lettieri
